level,title,start_page,end_page,parent_chapter,major_chapter
7,Grid Settings [preferences],409,410,Grid Settings,9. Plant Simulation User Interface
7,Base Plate Material [preferences],411,411,Grid Settings,9. Plant Simulation User Interface
7,Axes Color [preferences],412,412,Grid Settings,9. Plant Simulation User Interface
7,Grid Lines [preferences],413,414,Grid Settings,9. Plant Simulation User Interface
6,Mouse Wheel Behavior,415,415,3D Tab,9. Plant Simulation User Interface
6,OpenGL Version,416,416,3D Tab,9. Plant Simulation User Interface
6,Background Color [3D],417,417,3D Tab,9. Plant Simulation User Interface
5,License Tab,417,430,Preferences [Menu Item],9. Plant Simulation User Interface
6,License,417,419,License Tab,9. Plant Simulation User Interface
6,Use Cloud Licensing,420,420,License Tab,9. Plant Simulation User Interface
6,Subscription,421,421,License Tab,9. Plant Simulation User Interface
6,License Type,422,423,License Tab,9. Plant Simulation User Interface
6,License File,424,424,License Tab,9. Plant Simulation User Interface
6,Server [license] - 1,425,425,License Tab,9. Plant Simulation User Interface
6,Server [license] - 2,426,426,License Tab,9. Plant Simulation User Interface
6,Server [license] - 3,427,427,License Tab,9. Plant Simulation User Interface
6,Use a License Server Triad,428,428,License Tab,9. Plant Simulation User Interface
6,Query Host IDs,429,429,License Tab,9. Plant Simulation User Interface
6,Host IDs,430,430,License Tab,9. Plant Simulation User Interface
6,Help [license],431,431,License Tab,9. Plant Simulation User Interface
5,Data Privacy,431,434,Preferences [Menu Item],9. Plant Simulation User Interface
6,Data Privacy,431,431,Data Privacy,9. Plant Simulation User Interface
6,Data Privacy 1,432,433,Data Privacy,9. Plant Simulation User Interface
6,Data Privacy 2,434,434,Data Privacy,9. Plant Simulation User Interface
4,Help [Menu Item],435,440,File Menu Commands,9. Plant Simulation User Interface
5,Help [on File menu],435,435,Help [Menu Item],9. Plant Simulation User Interface
5,Contents [help],436,436,Help [Menu Item],9. Plant Simulation User Interface
5,Plant Simulation Community Forum,437,437,Help [Menu Item],9. Plant Simulation User Interface
5,Academic Community Forum,438,438,Help [Menu Item],9. Plant Simulation User Interface
5,GTAC Support Center,439,439,Help [Menu Item],9. Plant Simulation User Interface
5,Check for Update,440,440,Help [Menu Item],9. Plant Simulation User Interface
5,About Plant Simulation,441,441,Help [Menu Item],9. Plant Simulation User Interface
4,Exit [Menu Item],441,443,File Menu Commands,9. Plant Simulation User Interface
